"T","rep","seed","logLik_gauss_K2","logLik_gauss_K3","logLik_mix_K2_M2","BIC_gauss_K2","BIC_gauss_K3","BIC_mix_K2_M2","delta_BIC_gauss_K3_minus_K2","delta_BIC_mix_K2_minus_gauss_K3","gaussian_BIC_favours_K3","enriched_BIC_favours_K2_mix","mix_state1_mean","mix_state2_mean","mix_state1_occ","mix_state2_occ"
500,46,26260656,-705.689587696215,-700.768345513629,-666.32797086206,1454.88143208138,1488.54120440517,1413.44584700361,33.6597723237846,-75.0953574015618,FALSE,TRUE,-0.536314514102157,3.78482461085071,0.375514995889575,0.624485004110424
500,47,26260657,-715.356180135576,-658.262066061832,-659.204762543688,1474.21461696011,1403.52864550158,1399.19943036686,-70.6859714585328,-4.32921513471092,TRUE,TRUE,-0.587963519777558,3.79173261913516,0.410987869985243,0.589012130014757
500,48,26260658,-735.677496917053,-663.401093401023,-663.18671696395,1514.85725052306,1413.80670017996,1407.16333920739,-101.050550343105,-6.64336097256751,TRUE,TRUE,-0.460616474852532,3.84433839743593,0.501763146592951,0.498236853407049
500,49,26260659,-718.033884593174,-647.426091780385,-651.029658854593,1479.5700258753,1381.85669693868,1382.84922298867,-97.7133289366238,0.992526049993785,TRUE,FALSE,-0.529626577075818,3.84993830037108,0.450547038141228,0.549452961858773
500,50,26260660,-781.041466154318,-698.697399439884,-700.02126058866,1605.58518899759,1484.39931225768,1480.83242645681,-121.185876739913,-3.56688580087007,TRUE,TRUE,-0.411452578198709,3.73298916726057,0.581847732942828,0.418152267057172
500,51,26260661,-707.655215524995,-659.006293603004,-659.053203026951,1458.81268773894,1405.01710058392,1398.89631133339,-53.7955871550255,-6.12078925052901,TRUE,TRUE,-0.553994554613863,3.84065945034888,0.391854002758141,0.608145997241858
500,52,26260662,-708.100706086256,-669.08013444354,-668.873262976213,1459.70366886147,1425.16478226499,1418.53643123191,-34.5388865964771,-6.62835103307702,TRUE,TRUE,-0.545901145120073,3.80354967490669,0.357262443894614,0.642737556105387
500,53,26260663,-738.703114059976,-670.142757223806,-671.940213720451,1520.90848480891,1427.29002782552,1424.67033272039,-93.6184569833856,-2.61969510513268,TRUE,TRUE,-0.681025113750744,3.80959789598626,0.48049065915069,0.51950934084931
500,54,26260664,-698.996849804464,-645.55969350088,-648.070822482405,1441.49595629788,1378.12390037967,1376.9315502443,-63.3720559182138,-1.19235013537241,TRUE,TRUE,-0.591670462723598,3.84659045483146,0.370004736015253,0.629995263984747
500,55,26260665,-705.568029315745,-668.328895823803,-667.348052475314,1454.63831532045,1423.66230502552,1415.48601023012,-30.9760102949288,-8.17629479540051,TRUE,TRUE,-0.401070834733056,3.78149536982388,0.362738032852956,0.637261967147044
500,56,26260666,-787.289691369788,-715.34917010262,-715.830783811252,1618.08163942853,1517.70285358315,1512.45147290199,-100.378785845381,-5.25138068115916,TRUE,TRUE,-0.542901802834275,3.79869100203875,0.613918671564282,0.386081328435718
500,57,26260667,-625.909171321405,-621.58789023635,-604.976151035991,1295.32059933177,1330.18029385061,1290.74220735147,34.8596945188451,-39.4380864991401,FALSE,TRUE,-0.682645710549014,3.78773838968309,0.260060413533968,0.739939586466032
500,58,26260668,-716.437313092616,-654.891286888597,-655.246782159135,1476.37688287419,1396.7870871551,1391.28346959776,-79.589795719083,-5.50361755734639,TRUE,TRUE,-0.458942970489185,3.78271267905592,0.411280222665339,0.588719777334661
500,59,26260669,-703.812915905682,-639.487344179074,-640.063987968329,1451.12808850032,1365.97920173606,1360.91788121615,-85.1488867642606,-5.06132051991176,TRUE,TRUE,-0.511245738173346,3.80605336491583,0.434013165588896,0.565986834411104
500,60,26260670,-792.550502670863,-728.20942972795,-726.995168036531,1628.60326203068,1543.42337283381,1534.78024135255,-85.1798891968715,-8.64313148125916,TRUE,TRUE,-0.606405825708002,3.76076026166588,0.555894264777519,0.444105735222481
500,61,26260671,-690.073958688075,-685.886201337221,-641.052333471065,1423.65017406511,1458.77691605235,1362.89457222162,35.1267419872477,-95.8823438307356,FALSE,TRUE,-0.541714081711293,3.80208264903679,0.345968658620804,0.654031341379196
500,62,26260672,-789.735299144424,-712.984567502646,-711.615134194985,1622.9728549778,1512.9736483832,1504.02017366946,-109.9992065946,-8.95347471374453,TRUE,TRUE,-0.579901716558058,3.87874668502489,0.531252713799915,0.468747286200085
500,63,26260673,-690.318813936333,-628.920580633142,-632.393079648257,1424.13988456162,1344.8456746442,1345.576064576,-79.2942099174263,0.730389931807622,TRUE,FALSE,-0.666077882846454,3.8263510399774,0.48601652684308,0.51398347315692
500,64,26260674,-727.022332168902,-673.822152826948,-673.603628028879,1497.54692102676,1434.64881903181,1427.99716133725,-62.8981019949535,-6.65165769456053,TRUE,TRUE,-0.47023547680304,3.80955513345535,0.432661059145554,0.567338940854446
500,65,26260675,-801.616052080686,-714.351267884247,-715.302253442273,1646.73436085033,1515.70704914641,1511.39441216403,-131.027311703923,-4.31263698237103,TRUE,TRUE,-0.527263746364442,3.77233354800368,0.570967656598255,0.429032343401744
500,66,26260676,-735.294785860444,-687.813819156344,-687.981983899292,1514.09182840984,1462.6321516906,1456.75387307807,-51.4596767192459,-5.87827861252572,TRUE,TRUE,-0.525624194692292,3.80245156657611,0.378839708357877,0.621160291642123
