"Package","Version","Built"
"forecast","8.24.0","4.5.0"
"foreign","0.8-90","4.5.0"
"formattable","0.2.1","4.5.0"
"Formula","1.2-5","4.5.0"
"fpc","2.2-13","4.5.0"
"fracdiff","1.5-3","4.5.0"
"fresh","0.2.2","4.5.0"
"fs","1.6.6","4.5.0"
"ftExtra","0.6.4","4.5.0"
"furrr","0.3.1","4.5.0"
"future","1.49.0","4.5.0"
"future.apply","1.11.3","4.5.0"
"gamm4","0.2-7","4.5.0"
"gander","0.1.0","4.5.0"
"gap","1.6","4.5.0"
"gap.datasets","0.0.6","4.5.0"
"gapminder","1.0.1","4.5.0"
"gargle","1.5.2","4.5.0"
"gbm","2.2.3","4.5.2"
"gdtools","0.4.4","4.5.0"
"generics","0.1.4","4.5.0"
"geojsonsf","2.0.5","4.5.2"
"geometries","0.2.5","4.5.2"
"geosphere","1.5-20","4.5.0"
"gert","2.1.5","4.5.0"
"ggalluvial","0.12.5","4.5.0"
"GGally","2.3.0","4.5.0"
"gganimate","1.0.11","4.5.0"
"ggcheck","0.0.5","4.5.0"
"ggdag","0.2.13","4.5.0"
"ggforce","0.5.0","4.5.0"
"ggfun","0.2.0","4.5.0"
"ggfx","1.0.3","4.5.0"
"ggh4x","0.3.1","4.5.0"
"ggiraph","0.9.3","4.5.2"
"ggmap","4.0.1","4.5.0"
"ggnewscale","0.5.2","4.5.0"
"ggpattern","1.2.1","4.5.0"
"ggplot2","4.0.2","4.5.2"
"ggplot2movies","0.0.1","4.5.0"
"ggraph","2.2.2","4.5.0"
"ggrepel","0.9.6","4.5.0"
"ggridges","0.5.7","4.5.0"
"ggsci","3.2.0","4.5.0"
"ggspatial","1.1.10","4.5.0"
"ggstats","0.10.0","4.5.0"
"ggtext","0.1.2","4.5.0"
"gh","1.5.0","4.5.0"
"ghclass","0.3.1","4.5.0"
"gitcreds","0.1.2","4.5.0"
"GLBFP","0.4.0","4.5.0"
"glmmTMB","1.1.11","4.5.0"
"glmnet","4.1-10","4.5.0"
"GlobalOptions","0.1.3","4.5.2"
"globals","0.18.0","4.5.0"
"glue","1.8.0","4.5.0"
"Gmedian","1.2.7","4.5.0"
"gmp","0.7-5","4.5.0"
"GoFKernel","2.1-3","4.5.0"
"googledrive","2.1.1","4.5.0"
"googlesheets4","1.1.1","4.5.0"
"gower","1.0.2","4.5.0"
"GPArotation","2025.3-1","4.5.0"
"GPfit","1.0-9","4.5.0"
"gradethis","0.2.14","4.5.0"
"graphics","4.5.0","4.5.0"
"graphlayouts","1.2.2","4.5.0"
"grDevices","4.5.0","4.5.0"
"grid","4.5.0","4.5.0"
"gridExtra","2.3","4.5.0"
"gridlayout","0.2.1","4.5.0"
"gridpattern","1.3.1","4.5.0"
"gridtext","0.1.5","4.5.0"
"gsl","2.1-9","4.5.0"
"gsw","1.2-0","4.5.0"
"gt","1.0.0","4.5.0"
"gtable","0.3.6","4.5.0"
"gtools","3.9.5","4.5.0"
"gutenbergr","0.3.0","4.5.0"
"hardhat","1.4.1","4.5.0"
"haven","2.5.4","4.5.0"
"here","1.0.1","4.5.0"
"highr","0.11","4.5.0"
"Hmisc","5.2-3","4.5.0"
"hmmSSF","0.1.0","4.5.0"
"hms","1.1.3","4.5.0"
"htmlTable","2.4.3","4.5.0"
"htmltools","0.5.9","4.5.2"
"htmlwidgets","1.6.4","4.5.0"
"httpuv","1.6.16","4.5.0"
"httr","1.4.7","4.5.0"
"httr2","1.1.2","4.5.0"
"hunspell","3.0.6","4.5.0"
"hypergeo","1.2-14","4.5.0"
"ICS","1.4-2","4.5.0"
"ICSOutlier","0.4-0","4.5.0"
"ids","1.0.1","4.5.0"
"igraph","2.2.1","4.5.0"
"infer","1.0.8","4.5.0"
"infotheo","1.2.0.1","4.5.0"
