"ID","floor","fraction","n_train","model","log_likelihood","n_parameters","BIC","converged","relative_gain","iterations","n_modes","modes","floor_hits","min_transition","max_self","refined_within_001","refined_total"
"elk-363",0.05,0.6,130,"M21",-33.9683223303262,10,116.611989165208,TRUE,4.18384239644359e-09,13,3,"0.20057;0.50139;1.23915",0,0.236380838860808,0.763619161139192,1,20
"elk-363",0.05,0.6,130,"M22",-29.7419363755191,13,122.761820606961,TRUE,6.83334925706988e-09,40,4,"0.20358;0.49808;0.78846;1.71925",0,0.214165550407109,0.785834449592891,1,20
"elk-363",0.05,0.6,130,"G2",-46.8586414515073,7,127.790024056204,TRUE,3.96673477606853e-09,11,2,"0.3063;1.26403",0,0.225273656062651,0.774726343937349,20,20
"elk-363",0.05,0.6,130,"G3",-31.8862163347626,14,131.917914975903,TRUE,3.22295610691476e-09,20,3,"0.20235;0.50379;1.2295",0,0.156217501029165,0.540268464251803,1,21
"elk-363",0.05,0.6,130,"G4",-20.5609460082248,23,153.075184376928,TRUE,6.26268414974146e-09,277,4,"0.20355;0.50011;0.93439;1.83118",0,4.20653359101977e-12,0.607557588664846,16,21
"elk-115",0.05,0.8,154,"M21",-81.4301355820227,10,213.229797188182,TRUE,5.87390719870163e-09,23,3,"0.12785;0.4747;1.39248",0,0.164322166365927,0.835677833634073,20,20
"elk-115",0.05,0.8,154,"M22",-73.9848850614462,13,213.45015395427,TRUE,6.57079389441495e-09,32,4,"0.1268;0.47716;1.24525;2.3449",0,0.148451367547772,0.851548632452228,20,20
"elk-115",0.05,0.8,154,"G2",-91.1889194687388,7,217.636507154373,TRUE,2.24416797268678e-09,10,2,"0.33768;1.28357",0,0.179032347632984,0.820967652367016,20,20
"elk-115",0.05,0.8,154,"G3",-76.9081584805084,14,224.333653394808,TRUE,2.13197444941527e-09,12,1,"0.23038",0,1.13572779945175e-10,0.973601946388364,20,21
"elk-115",0.05,0.8,154,"G4",-59.5231621714363,23,234.896234198386,TRUE,2.82128206204246e-09,9,2,"0.05824;0.31671",1,2.74645152764318e-12,0.67447353891502,20,21
"elk-163",0.05,0.8,126,"M21",-34.6886818308064,10,117.740182731128,TRUE,4.27122016465935e-09,20,3,"0.06717;0.25591;1.55266",1,0.265702901972297,0.734297098027703,20,20
