"ID","floor","fraction","n_train","model","state","component","mean","sd","weight","occupation","self_transition"
"elk-163",0.05,1,158,"G3",1,1,0.0653656620977925,0.05,1,0.438810388576886,0.668751425654045
"elk-163",0.05,1,158,"G3",2,1,0.28643471728178,0.160730127190464,1,0.313910005484191,0.620337616326764
"elk-163",0.05,1,158,"G3",3,1,1.66441005002094,0.719061883406221,1,0.247279605938923,0.416521534806467
"elk-163",0.05,1,158,"G4",1,1,0.0638982696377382,0.05,1,0.473515261805897,0.637205148597173
"elk-163",0.05,1,158,"G4",2,1,0.240602951044792,0.05,1,0.136871493038569,0.420751778006618
"elk-163",0.05,1,158,"G4",3,1,0.445436808166768,0.216606046074695,1,0.178052212100149,0.54483950883999
"elk-163",0.05,1,158,"G4",4,1,1.83242487781912,0.631769672390456,1,0.211561033055385,0.356518688371988
"elk-287",0.05,1,163,"M21",1,1,0.118458235476512,0.0678095701603879,0.639363318375396,0.80417358209833,0.890115647559931
"elk-287",0.05,1,163,"M21",1,2,0.431951055957967,0.172618443942212,0.360636681624604,0.80417358209833,0.890115647559931
"elk-287",0.05,1,163,"M21",2,1,1.75253614216821,0.649303869878877,1,0.19582641790167,0.552215713019573
"elk-287",0.05,1,163,"M22",1,1,0.163984726913635,0.086214698939371,0.563090761324703,0.441791764902276,0.999999999998129
"elk-287",0.05,1,163,"M22",1,2,0.466253768957857,0.135288692523663,0.436909238675297,0.441791764902276,0.999999999998129
"elk-287",0.05,1,163,"M22",2,1,0.105108510346014,0.0608358545314651,0.582424736993003,0.558208235097724,0.98900953285777
"elk-287",0.05,1,163,"M22",2,2,1.5633636458322,0.740522706014128,0.417575263006997,0.558208235097724,0.98900953285777
"elk-287",0.05,1,163,"G2",1,1,0.206709365287575,0.161332393708781,1,0.740997888263826,0.870785431720171
"elk-287",0.05,1,163,"G2",2,1,1.45250998088547,0.783437350267122,1,0.259002111736174,0.60983430966396
"elk-287",0.05,1,163,"G3",1,1,0.105062657393872,0.0608686051331411,1,0.328796822293802,0.70828043591158
"elk-287",0.05,1,163,"G3",2,1,0.297662200482652,0.186246367900068,1,0.436586150753624,0.999999999444107
"elk-287",0.05,1,163,"G3",3,1,1.55519574321846,0.745034346681155,1,0.234617026952574,0.591178529700051
"elk-287",0.05,1,163,"G4",1,1,0.116572264716476,0.0678120580675908,1,0.424721005441032,0.717411218138751
"elk-287",0.05,1,163,"G4",2,1,0.287553051247211,0.157386496172248,1,0.292585169872281,0.999999999991719
