"ID","floor","fraction","n_train","model","stage","start","log_likelihood","iterations","relative_gain","converged","minimum_transition","maximum_self_transition","floor_hits"
"elk-115",0.025,1,193,"M21","screen",125,-89.9873739227375,18,7.34068243917547e-05,FALSE,0.107295563594216,0.892704436405784,0
"elk-115",0.025,1,193,"M21","screen",126,-89.9518342821516,13,4.61821525892331e-05,FALSE,0.109564897715983,0.890435102284017,0
"elk-115",0.025,1,193,"M21","screen",127,-89.9924242638877,44,8.21680098850889e-05,FALSE,0.107067917610806,0.892932082389195,0
"elk-115",0.025,1,193,"M21","screen",128,-89.9640305335626,15,5.81333774910209e-05,FALSE,0.109616392728143,0.890383607271857,0
"elk-115",0.025,1,193,"M21","screen",129,-89.921476906156,16,3.23251722166587e-05,FALSE,0.10968002444908,0.89031997555092,0
"elk-115",0.025,1,193,"M21","screen",130,-89.9924292983105,28,8.21857984486064e-05,FALSE,0.10709515549753,0.89290484450247,0
"elk-115",0.025,1,193,"M21","screen",131,-89.990801612544,26,8.11795108381012e-05,FALSE,0.10795220609452,0.89204779390548,0
"elk-115",0.025,1,193,"M21","screen",132,-89.9548491831043,34,5.08132411538445e-05,FALSE,0.104694606524328,0.895305393475672,0
"elk-115",0.025,1,193,"M21","screen",133,-89.9860541922196,28,7.98661227314971e-05,FALSE,0.105101052874951,0.894898947125049,0
"elk-115",0.025,1,193,"M21","screen",134,-88.9480469760952,38,5.32845230236897e-05,FALSE,0.110772165053647,0.889227834946353,0
"elk-115",0.025,1,193,"M21","screen",135,-89.9899840365925,31,7.81296470801415e-05,FALSE,0.106593216313126,0.893406783686874,0
"elk-115",0.025,1,193,"M21","screen",136,-88.9471350956006,35,4.6338691394776e-05,FALSE,0.110749348891995,0.889250651108005,0
"elk-115",0.025,1,193,"M21","screen",137,-89.9864863253218,23,7.2237120990828e-05,FALSE,0.107425497124295,0.892574502875705,0
"elk-115",0.025,1,193,"M21","screen",138,-89.9918634989471,31,8.1284719989383e-05,FALSE,0.107326718204639,0.892673281795361,0
"elk-115",0.025,1,193,"M21","screen",139,-89.9915980743994,42,8.11251168346979e-05,FALSE,0.107514573811837,0.892485426188163,0
"elk-115",0.025,1,193,"M21","screen",140,-92.5357216596527,70,0.003889448795348,FALSE,0.066491905029806,0.933508094970194,0
"elk-115",0.025,1,193,"M21","screen",141,-89.9789121513891,17,7.18977263460473e-05,FALSE,0.108265568074088,0.891734431925912,0
"elk-115",0.025,1,193,"M21","screen",142,-89.9056903020179,16,6.98261397312051e-05,FALSE,0.111283537264201,0.888716462735799,0
"elk-115",0.025,1,193,"M21","screen",143,-89.9928429646735,32,8.3437574954767e-05,FALSE,0.107516655922902,0.892483344077098,0
"elk-115",0.025,1,193,"M21","screen",144,-89.9929555539784,22,8.31751050943009e-05,FALSE,0.107028199901833,0.892971800098167,0
"elk-115",0.025,1,193,"M21","screen",145,-89.9521488136702,15,5.69377379106494e-05,FALSE,0.110373737168088,0.889626262831912,0
"elk-115",0.025,1,193,"M21","screen",146,-89.9891762529992,39,7.65288275054121e-05,FALSE,0.107442009434214,0.892557990565786,0
"elk-115",0.025,1,193,"M21","screen",147,-88.9463168457387,28,4.00774869418802e-05,FALSE,0.111638803628921,0.888361196371079,0
"elk-115",0.025,1,193,"M21","screen",148,-89.9911261420716,54,8.01448332673491e-05,FALSE,0.107463321414846,0.892536678585154,0
"elk-115",0.025,1,193,"M21","screen",149,-89.9224919674236,14,4.42302317029023e-05,FALSE,0.109826190772299,0.890173809227701,0
"elk-115",0.025,1,193,"M21","screen",150,-89.9184798051597,12,2.14369588840921e-05,FALSE,0.108172709498691,0.89182729050131,0
"elk-115",0.025,1,193,"M21","screen",151,-89.959887642961,14,5.8625614580838e-05,FALSE,0.109893903276355,0.890106096723645,0
"elk-115",0.025,1,193,"M21","screen",152,-89.9673561649415,14,7.17777665686608e-05,FALSE,0.110124691649628,0.889875308350372,0
"elk-115",0.025,1,193,"M21","screen",153,-89.988838174956,20,8.08707415628509e-05,FALSE,0.108385437400699,0.891614562599301,0
"elk-115",0.025,1,193,"M21","screen",154,-89.9692649003212,33,6.33787545947122e-05,FALSE,0.104035661175026,0.895964338824974,0
"elk-115",0.025,1,193,"M21","screen",155,-89.9548901499518,17,5.95799620537939e-05,FALSE,0.109225945739926,0.890774054260074,0
"elk-115",0.025,1,193,"M21","screen",156,-89.951892431976,15,6.1434693562865e-05,FALSE,0.110262846852448,0.889737153147552,0
