"T","rep","seed","logLik_gauss_K2_old","logLik_gauss_K3_old","logLik_mix_K2_M2_old","BIC_gauss_K2_old","BIC_gauss_K3_old","BIC_mix_K2_M2_old","delta_BIC_gauss_K3_minus_K2_old","delta_BIC_mix_K2_minus_gauss_K3_old","gaussian_BIC_favours_K3_old","enriched_BIC_favours_K2_mix_old","mix_state1_mean_old","mix_state2_mean_old","mix_state1_occ_old","mix_state2_occ_old","logLik_gauss_K2_new","logLik_gauss_K3_new","logLik_mix_K2_M2_new","BIC_gauss_K2_new","BIC_gauss_K3_new","BIC_mix_K2_M2_new","delta_BIC_gauss_K3_minus_K2_new","delta_BIC_mix_K2_minus_gauss_K3_new","gaussian_BIC_favours_K3_new","enriched_BIC_favours_K2_mix_new","mix_state1_mean_new","mix_state2_mean_new","mix_state1_occ_new","mix_state2_occ_new"
1500,122,36260732,-2178.9353907889,-2053.60670154417,-2055.36791810384,4409.06332428744,4209.5984885076,4205.80770123985,-199.464835779839,-3.79078726774242,TRUE,TRUE,-0.38095410585197,3.78772413098596,0.373186772285343,0.626813227714657,-2178.93539078887,-2053.60653860353,-2055.3612261047,4409.06332428737,4209.59816262631,4205.79431724157,-199.465161661056,-3.80384538474846,TRUE,TRUE,-0.381052560942651,3.78766384376232,0.373170874547627,0.626829125452374
1500,123,36260733,-2186.54940373429,-2036.92366262596,-2037.49945321499,4424.29135017822,4176.23241067119,4170.07077146215,-248.058939507027,-6.16163920903819,TRUE,TRUE,-0.4837335102565,3.82561719020337,0.401844938599995,0.598155061400005,-2186.54940373429,-2036.92345229438,-2037.05290198379,4424.29135017822,4176.23199000802,4169.17766899976,-248.059360170203,-7.05432100826147,TRUE,TRUE,-0.483636335020113,3.82566976178379,0.40186151176815,0.59813848823185
1500,124,36260734,-2117.03169715164,-2003.50136871762,-2004.08635052211,4285.2559370129,4109.38782285451,4103.24456607639,-175.868114158392,-6.14325677812212,TRUE,TRUE,-0.593031951559205,3.80696931732562,0.341308169820698,0.658691830179302,-2117.03169715164,-2003.50118562162,-2003.11613982873,4285.2559370129,4109.3874566625,4101.30414468963,-175.868480350404,-8.08331197287043,TRUE,TRUE,-0.592632126984287,3.80711977328589,0.34136108389327,0.658638916106731
1500,125,36260735,-2210.85556302046,-2048.12842621309,-2049.9019393034,4472.90366875056,4198.64193784544,4194.87574363898,-274.261730905119,-3.76619420645875,TRUE,TRUE,-0.555598101215746,3.8036265574143,0.446592094750723,0.553407905249277,-2210.85556302046,-2048.12832329322,-2049.90111475002,4472.90366875056,4198.64173200571,4194.87409453221,-274.261936744846,-3.76763747350196,TRUE,TRUE,-0.555609164182706,3.80361939980662,0.44659042937578,0.55340957062422
1500,126,36260736,-2095.81184085651,-1933.12463565513,-1933.64771296749,4242.81622442265,3968.63435672952,3962.36729096715,-274.181867693133,-6.26706576236893,TRUE,TRUE,-0.469513504330599,3.81895805191114,0.376136582224857,0.623863417775143,-2095.81184085651,-1933.12463002124,-1933.58577547304,4242.81622442265,3968.63434546174,3962.24341597825,-274.181878960912,-6.39092948348161,TRUE,TRUE,-0.469240714722365,3.81912200119863,0.376184424703817,0.623815575296184
1500,127,36260737,-2135.75155615101,-1964.04072517975,-1967.38963755177,4322.69565501166,4030.46653577877,4029.85114013572,-292.229119232892,-0.615395643050306,TRUE,TRUE,-0.454997044023338,3.8423363919134,0.388845365242856,0.611154634757144,-2135.75155615101,-1964.04068478052,-1966.33805895073,4322.69565501166,4030.46645498031,4027.74798293363,-292.22920003135,-2.71847204667665,TRUE,TRUE,-0.455295605087675,3.84214892643208,0.38879145100296,0.61120854899704
1500,128,36260738,-2167.8023468615,-1995.97502857172,-1996.99246652865,4386.79723643264,4094.3351425627,4089.05679808948,-292.462093869944,-5.27834447321266,TRUE,TRUE,-0.515917849157525,3.81470996919928,0.452855137235545,0.547144862764454,-2167.8023468615,-1995.97488090251,-1996.79528566623,4386.79723643264,4094.33484722429,4088.66243636463,-292.462389208346,-5.6724108596618,TRUE,TRUE,-0.515958763225767,3.81467718830866,0.452849269296506,0.547150730703494
1500,129,36260739,-2193.68443905393,-1998.78306505637,-2001.68288980981,4438.56142081749,4099.95121553201,4098.4376446518,-338.610205285477,-1.51357088020814,TRUE,TRUE,-0.483706764183753,3.81804391765165,0.420566975280272,0.579433024719729,-2193.68443905332,-1998.78305293549,-2001.48183719708,4438.56142081627,4099.95119129024,4098.03553942633,-338.610229526025,-1.91565186391381,TRUE,TRUE,-0.483540734915241,3.81815594400772,0.420599471772475,0.579400528227526
1500,13,36260623,-2221.19415444213,-2043.42417484246,-2046.25252343639,4493.5808515939,4189.23343510418,4187.57691190496,-304.347416489718,-1.65652319922174,TRUE,TRUE,-0.485881026480622,3.79328237149978,0.472802363118161,0.527197636881839,-2221.19415444189,-2043.42394206143,-2043.89337157167,4493.58085159341,4189.23296954213,4182.85860817551,-304.347882051284,-6.37436136661472,TRUE,TRUE,-0.489503961187648,3.78698387525326,0.471621457237438,0.528378542762562
1500,130,36260740,-2210.01094535729,-2083.62302712709,-2082.67212235265,4471.21443342421,4269.63113967345,4260.41610973748,-201.58329375076,-9.21502993597733,TRUE,TRUE,-0.38909643838923,3.77425238046662,0.405252859504082,0.594747140495918,-2210.01094535506,-2083.62247410179,-2082.67160459465,4471.21443341976,4269.63003362284,4260.41507422147,-201.584399796924,-9.21495940136447,TRUE,TRUE,-0.389097460675758,3.77427383559425,0.405258451642806,0.594741548357194
